,Producto,Precio,Unidades Vendidas,Ciudad,Genero Comprador,Satisfacción Cliente,Tiempo de Envío (días),Total Ventas
74,Teclado,1014,107,Valencia,F,7,7,108498
75,Smartphone,568,249,Madrid,F,5,14,141432
76,Smartphone,1461,53,Portugal,F,5,9,77433
77,Audifonos,1318,174,Barcelona,M,2,3,229332
78,Mouse,1863,34,Portugal,M,8,11,63342
79,Audifonos,705,71,Valencia,F,1,2,50055
80,Audifonos,1481,54,Portugal,F,6,12,79974
81,Monitor,235,166,Barcelona,F,5,7,39010
82,Teclado,1663,180,Portugal,F,9,8,299340
83,Monitor,251,84,Portugal,M,9,3,21084
84,Monitor,576,172,Barcelona,M,2,3,99072
85,Audifonos,1197,68,Portugal,F,9,6,81396
86,Audifonos,1994,36,Valencia,F,7,14,71784
87,Audifonos,87,127,Barcelona,F,7,3,11049
88,Smartphone,1110,153,Valencia,F,6,7,169830
89,Mouse,619,8,Madrid,M,6,14,4952
90,Audifonos,1067,209,Valencia,F,9,2,223003
91,Mouse,257,102,Valencia,M,7,9,26214
92,Laptop,916,232,Barcelona,M,5,7,212512
93,Audifonos,414,26,Barcelona,M,5,10,10764
94,Audifonos,944,25,Valencia,F,1,12,23600
95,Mouse,1253,62,Portugal,F,2,10,77686
96,Monitor,1048,189,Madrid,F,2,2,198072
97,Laptop,568,257,Madrid,F,4,7,145976
98,Monitor,1631,177,Madrid,F,1,11,288687
99,Monitor,556,47,Portugal,F,7,6,26132
100,Monitor,720,38,Madrid,F,7,13,27360
101,Mouse,941,74,Valencia,F,9,11,69634
102,Mouse,808,64,Madrid,F,7,6,51712
103,Monitor,1950,255,Madrid,M,5,2,497250
104,Audifonos,982,77,Valencia,M,1,12,75614
105,Monitor,1700,9,Barcelona,M,4,10,15300
106,Audifonos,527,109,Portugal,F,5,14,57443
107,Teclado,1284,114,Valencia,M,7,2,146376
108,Laptop,1155,55,Madrid,M,4,3,63525
109,Laptop,1162,1,Portugal,M,1,8,1162
110,Mouse,808,145,Madrid,M,6,9,117160
111,Mouse,1432,230,Barcelona,F,8,11,329360
112,Audifonos,759,260,Portugal,M,9,12,197340
113,Audifonos,1726,19,Portugal,F,5,10,32794
114,Laptop,991,107,Madrid,M,9,2,106037
115,Mouse,423,39,Madrid,M,4,1,16497
116,Smartphone,1417,234,Madrid,F,7,8,331578
117,Teclado,304,106,Barcelona,M,7,1,32224
118,Mouse,1622,262,Portugal,M,1,6,424964
119,Laptop,981,42,Barcelona,M,4,10,41202
120,Monitor,671,240,Barcelona,F,4,6,161040
121,Audifonos,1450,196,Portugal,F,6,12,284200
122,Smartphone,159,174,Valencia,F,5,1,27666
123,Monitor,1363,203,Valencia,M,3,8,276689
124,Audifonos,314,289,Portugal,F,1,4,90746
125,Smartphone,455,176,Valencia,F,8,2,80080
126,Teclado,587,242,Valencia,F,4,9,142054
127,Teclado,378,195,Madrid,M,2,3,73710
128,Teclado,1968,260,Barcelona,M,7,14,511680
129,Mouse,675,120,Portugal,M,1,1,81000
130,Smartphone,1533,149,Portugal,F,6,8,228417
131,Mouse,385,173,Madrid,F,9,1,66605
132,Monitor,816,203,Valencia,F,3,5,165648
133,Monitor,101,147,Valencia,F,9,5,14847
134,Mouse,1017,76,Madrid,M,9,7,77292
135,Smartphone,923,193,Portugal,M,6,8,178139
136,Audifonos,102,204,Portugal,M,1,8,20808
137,Mouse,1984,4,Barcelona,F,6,9,7936
138,Mouse,221,262,Madrid,F,8,9,57902
139,Laptop,442,260,Madrid,M,6,11,114920
140,Audifonos,113,165,Portugal,M,3,7,18645
141,Laptop,1629,51,Madrid,M,9,1,83079
142,Laptop,120,276,Portugal,F,8,1,33120
143,Mouse,196,258,Portugal,F,7,12,50568
144,Teclado,749,129,Valencia,M,2,3,96621
145,Mouse,1678,100,Madrid,F,3,10,167800
146,Audifonos,1315,166,Portugal,M,3,9,218290
147,Monitor,99,60,Barcelona,M,2,14,5940
148,Smartphone,616,143,Valencia,F,4,14,88088
149,Mouse,1674,78,Portugal,F,6,6,130572
150,Mouse,876,276,Portugal,M,1,5,241776
151,Teclado,1154,11,Portugal,M,8,7,12694
152,Monitor,111,273,Portugal,F,8,11,30303
153,Mouse,480,283,Valencia,F,9,10,135840
154,Smartphone,765,223,Valencia,F,5,2,170595
155,Audifonos,1916,154,Madrid,M,9,14,295064
156,Audifonos,568,48,Barcelona,M,8,3,27264
157,Monitor,176,211,Valencia,F,9,4,37136
158,Laptop,1028,289,Barcelona,M,5,9,297092
159,Laptop,1971,44,Madrid,M,7,5,86724
160,Monitor,1556,148,Valencia,F,2,14,230288
161,Laptop,110,189,Valencia,M,6,2,20790
162,Monitor,1651,119,Madrid,M,3,9,196469
163,Laptop,1930,287,Valencia,F,4,10,553910
164,Mouse,960,24,Madrid,F,5,4,23040
165,Mouse,1151,272,Valencia,M,6,1,313072
166,Monitor,574,176,Portugal,M,1,5,101024
167,Audifonos,274,126,Madrid,M,3,2,34524
168,Teclado,473,57,Madrid,M,3,9,26961
169,Smartphone,607,90,Valencia,M,8,4,54630
170,Laptop,1298,37,Portugal,F,3,4,48026
171,Monitor,610,222,Portugal,M,8,4,135420
172,Teclado,695,196,Valencia,F,4,2,136220
173,Laptop,163,33,Madrid,F,7,4,5379
174,Teclado,901,129,Portugal,F,9,10,116229
175,Mouse,912,242,Madrid,M,8,12,220704
176,Smartphone,151,269,Barcelona,M,1,7,40619
177,Smartphone,1404,108,Barcelona,F,3,4,151632
178,Mouse,1794,261,Madrid,F,4,11,468234
179,Teclado,1630,255,Valencia,M,4,14,415650
180,Laptop,120,223,Madrid,M,3,2,26760
181,Mouse,501,287,Valencia,F,3,1,143787
182,Laptop,337,291,Barcelona,F,3,7,98067
183,Laptop,249,257,Valencia,F,4,4,63993
184,Audifonos,1782,115,Barcelona,M,1,13,204930
185,Monitor,707,224,Valencia,F,3,14,158368
186,Laptop,557,51,Madrid,F,8,1,28407
187,Laptop,1899,166,Madrid,F,1,4,315234
188,Monitor,121,264,Portugal,M,5,6,31944
189,Smartphone,274,293,Portugal,F,4,9,80282
190,Audifonos,701,52,Madrid,M,6,1,36452
191,Mouse,1295,164,Portugal,F,8,8,212380
192,Laptop,801,42,Barcelona,F,7,4,33642
193,Laptop,1755,119,Portugal,F,8,1,208845
194,Mouse,616,226,Valencia,F,6,1,139216
195,Laptop,1245,297,Madrid,F,4,5,369765
196,Monitor,1182,259,Barcelona,M,9,3,306138
197,Teclado,1718,262,Portugal,F,7,4,450116
198,Laptop,1315,142,Madrid,M,8,7,186730
199,Smartphone,651,52,Portugal,F,9,6,33852
200,Mouse,1062,70,Madrid,M,4,12,74340
201,Audifonos,1183,246,Valencia,M,3,7,291018
202,Teclado,615,218,Valencia,F,4,7,134070
203,Smartphone,1540,294,Madrid,F,6,10,452760
204,Monitor,1176,197,Portugal,F,3,3,231672
205,Monitor,284,249,Valencia,F,9,3,70716
206,Audifonos,922,176,Barcelona,M,7,5,162272
207,Smartphone,284,93,Madrid,F,6,14,26412
208,Smartphone,1830,259,Madrid,M,9,8,473970
209,Audifonos,1579,83,Portugal,M,5,12,131057
210,Audifonos,1820,166,Portugal,M,5,14,302120
211,Audifonos,373,104,Portugal,M,4,2,38792
212,Mouse,673,271,Barcelona,F,2,5,182383
213,Audifonos,826,10,Madrid,M,5,14,8260
214,Audifonos,1606,39,Valencia,F,1,6,62634
215,Mouse,749,19,Madrid,M,2,3,14231
216,Laptop,183,237,Madrid,F,4,12,43371
217,Monitor,876,2,Portugal,M,7,8,1752
218,Monitor,361,259,Madrid,F,6,11,93499
219,Monitor,1437,79,Barcelona,F,6,5,113523
220,Laptop,1877,273,Valencia,M,9,4,512421
221,Smartphone,1567,203,Valencia,M,1,10,318101
222,Laptop,547,123,Barcelona,F,5,9,67281
223,Smartphone,137,273,Valencia,M,5,12,37401
224,Audifonos,1608,106,Valencia,M,9,2,170448
225,Smartphone,1769,47,Madrid,F,1,14,83143
226,Smartphone,1351,196,Portugal,M,7,3,264796
227,Audifonos,605,136,Barcelona,F,2,13,82280
228,Mouse,1720,253,Portugal,M,4,8,435160
229,Monitor,261,285,Portugal,F,1,3,74385
230,Monitor,51,91,Barcelona,M,1,7,4641
231,Mouse,447,122,Portugal,M,7,14,54534
232,Laptop,1444,83,Barcelona,M,4,7,119852
233,Teclado,1530,77,Barcelona,M,2,7,117810
234,Teclado,752,153,Madrid,F,2,10,115056
235,Teclado,1966,276,Barcelona,F,1,1,542616
236,Smartphone,121,154,Barcelona,F,1,12,18634
237,Teclado,1481,168,Portugal,M,9,11,248808
238,Laptop,1782,23,Madrid,M,7,5,40986
239,Audifonos,1426,29,Valencia,F,5,8,41354
240,Monitor,853,179,Barcelona,F,5,2,152687
241,Monitor,264,82,Valencia,M,5,2,21648
242,Teclado,110,222,Valencia,M,7,14,24420
243,Laptop,242,95,Madrid,M,6,14,22990
244,Laptop,1622,120,Madrid,F,6,8,194640
245,Mouse,315,1,Valencia,F,8,12,315
246,Laptop,136,51,Portugal,M,5,9,6936
247,Laptop,1052,219,Barcelona,F,1,6,230388
248,Audifonos,1253,192,Barcelona,F,5,3,240576
249,Mouse,164,194,Madrid,M,3,13,31816
250,Monitor,197,299,Madrid,F,6,11,58903
251,Teclado,1999,211,Valencia,M,9,2,421789
252,Audifonos,1061,280,Portugal,F,1,10,297080
253,Laptop,1339,5,Madrid,M,5,12,6695
254,Smartphone,1100,200,Valencia,M,5,12,220000
255,Mouse,1322,40,Barcelona,F,4,5,52880
256,Smartphone,1896,221,Barcelona,F,5,14,419016
257,Mouse,488,17,Valencia,F,3,11,8296
258,Mouse,768,62,Barcelona,F,3,1,47616
259,Mouse,76,54,Valencia,M,5,14,4104
260,Smartphone,1273,157,Portugal,F,3,6,199861
261,Smartphone,1352,17,Portugal,M,2,2,22984
262,Monitor,713,221,Portugal,M,3,5,157573
263,Monitor,1610,136,Portugal,M,1,14,218960
264,Audifonos,1999,131,Madrid,M,9,1,261869
265,Monitor,1184,177,Madrid,M,6,3,209568
266,Audifonos,1925,195,Portugal,M,2,4,375375
267,Smartphone,259,1,Barcelona,F,3,1,259
268,Smartphone,517,163,Barcelona,M,1,11,84271
269,Smartphone,1525,13,Portugal,F,9,7,19825
270,Audifonos,1552,121,Madrid,M,7,7,187792
271,Teclado,754,271,Portugal,F,3,5,204334
272,Mouse,1488,65,Valencia,M,9,10,96720
273,Audifonos,882,36,Madrid,F,7,5,31752
274,Teclado,1517,91,Valencia,M,5,3,138047
275,Laptop,440,145,Barcelona,M,2,4,63800
276,Audifonos,1941,55,Valencia,F,9,5,106755
277,Teclado,452,59,Barcelona,M,8,3,26668
278,Smartphone,171,155,Valencia,F,2,4,26505
279,Monitor,1493,285,Portugal,M,1,10,425505
280,Audifonos,459,214,Portugal,F,8,4,98226
281,Smartphone,1939,142,Barcelona,M,4,3,275338
282,Laptop,1357,88,Valencia,M,1,6,119416
283,Laptop,350,130,Portugal,M,1,6,45500
284,Monitor,1652,285,Barcelona,M,9,6,470820
285,Teclado,575,137,Barcelona,M,9,10,78775
286,Monitor,466,282,Madrid,M,6,10,131412
287,Laptop,325,201,Portugal,M,8,10,65325
288,Smartphone,395,218,Madrid,M,6,9,86110
289,Monitor,1099,216,Portugal,M,5,11,237384
290,Laptop,1343,75,Madrid,M,7,8,100725
291,Laptop,1907,69,Portugal,M,8,4,131583
292,Teclado,1065,202,Barcelona,F,4,6,215130
293,Monitor,193,79,Portugal,F,9,5,15247
294,Audifonos,602,179,Portugal,F,8,8,107758
295,Monitor,1876,228,Madrid,F,3,6,427728
296,Smartphone,452,41,Madrid,F,4,13,18532
297,Audifonos,121,9,Valencia,M,2,4,1089
298,Monitor,225,265,Valencia,F,8,12,59625
299,Mouse,75,271,Madrid,M,6,4,20325
300,Teclado,1357,41,Madrid,M,2,11,55637
301,Teclado,1065,86,Valencia,M,6,13,91590
302,Smartphone,745,165,Barcelona,M,2,9,122925
303,Monitor,1956,125,Valencia,F,5,6,244500
304,Smartphone,1437,299,Valencia,M,9,11,429663
305,Teclado,1892,260,Valencia,F,6,12,491920
306,Mouse,1404,237,Valencia,F,9,12,332748
307,Monitor,1819,74,Valencia,M,1,13,134606
308,Laptop,1420,30,Madrid,F,1,13,42600
309,Mouse,872,74,Valencia,F,5,13,64528
310,Mouse,762,59,Portugal,F,2,6,44958
311,Audifonos,490,11,Portugal,M,9,4,5390
312,Teclado,1652,117,Barcelona,M,7,4,193284
313,Smartphone,603,99,Portugal,M,1,10,59697
314,Mouse,701,95,Madrid,F,5,2,66595
315,Monitor,484,47,Portugal,F,6,3,22748
316,Audifonos,1574,37,Valencia,F,5,11,58238
317,Mouse,550,182,Barcelona,F,2,10,100100
318,Audifonos,890,264,Barcelona,F,7,9,234960
319,Laptop,534,170,Valencia,M,4,14,90780
320,Laptop,1395,46,Portugal,F,1,9,64170
321,Monitor,104,213,Barcelona,M,1,7,22152
322,Mouse,1017,244,Madrid,F,3,14,248148
323,Laptop,561,275,Valencia,M,9,4,154275
324,Smartphone,708,57,Barcelona,M,3,3,40356
325,Audifonos,1330,42,Barcelona,F,2,3,55860
326,Mouse,1618,78,Barcelona,M,9,12,126204
327,Audifonos,757,149,Madrid,M,5,2,112793
328,Laptop,1962,146,Portugal,F,9,7,286452
329,Mouse,1739,114,Madrid,F,7,5,198246
330,Teclado,1697,149,Barcelona,F,8,11,252853
331,Mouse,1933,155,Madrid,M,8,14,299615
332,Mouse,1023,20,Madrid,M,3,13,20460
333,Laptop,378,292,Madrid,F,1,11,110376
334,Laptop,521,64,Portugal,M,4,11,33344
335,Monitor,1091,147,Barcelona,M,4,8,160377
336,Audifonos,451,108,Portugal,F,1,6,48708
337,Teclado,1748,90,Portugal,M,9,9,157320
338,Laptop,1999,21,Valencia,M,7,10,41979
339,Smartphone,482,144,Barcelona,M,4,2,69408
340,Smartphone,1643,194,Portugal,M,1,5,318742
341,Laptop,1462,34,Barcelona,M,2,12,49708
342,Monitor,929,139,Madrid,M,5,11,129131
343,Smartphone,1777,208,Barcelona,M,7,2,369616
344,Monitor,998,56,Portugal,F,6,6,55888
345,Teclado,637,145,Valencia,F,9,3,92365
346,Monitor,175,137,Madrid,F,8,14,23975
347,Audifonos,1781,230,Madrid,M,5,9,409630
348,Laptop,1209,120,Barcelona,F,2,1,145080
349,Audifonos,783,228,Madrid,F,1,6,178524
350,Smartphone,1435,154,Valencia,F,5,8,220990
351,Mouse,1755,243,Barcelona,M,5,7,426465
352,Audifonos,1601,236,Portugal,M,7,3,377836
353,Mouse,157,47,Portugal,F,7,4,7379
354,Audifonos,1851,271,Portugal,M,9,9,501621
355,Audifonos,1058,8,Portugal,M,8,13,8464
356,Laptop,1091,245,Barcelona,M,9,4,267295
357,Laptop,1740,219,Valencia,F,1,14,381060
358,Audifonos,666,139,Barcelona,M,3,4,92574
359,Smartphone,1927,293,Valencia,F,2,9,564611
360,Monitor,243,259,Barcelona,F,1,10,62937
361,Monitor,1859,54,Madrid,F,5,13,100386
362,Smartphone,982,275,Portugal,F,9,14,270050
363,Monitor,1660,19,Valencia,M,2,9,31540
364,Monitor,1607,93,Portugal,F,5,5,149451
365,Smartphone,685,134,Madrid,M,1,9,91790
366,Laptop,1133,46,Barcelona,F,6,4,52118
367,Laptop,1411,276,Barcelona,F,6,13,389436
368,Audifonos,1690,183,Portugal,M,2,1,309270
369,Laptop,591,63,Barcelona,M,7,7,37233
370,Laptop,1055,117,Valencia,F,6,4,123435
371,Laptop,1662,236,Barcelona,M,5,3,392232
372,Laptop,1419,107,Portugal,M,5,10,151833
373,Monitor,930,52,Valencia,F,6,1,48360
374,Laptop,848,299,Barcelona,M,3,1,253552
375,Mouse,1768,295,Barcelona,F,6,2,521560
376,Monitor,1268,217,Valencia,M,1,4,275156
377,Smartphone,1575,175,Valencia,M,4,3,275625
378,Mouse,923,154,Barcelona,F,3,9,142142
379,Monitor,627,92,Portugal,M,6,10,57684
380,Audifonos,1785,35,Portugal,F,9,14,62475
381,Laptop,1136,130,Barcelona,F,2,1,147680
382,Mouse,255,234,Barcelona,F,8,11,59670
383,Monitor,914,230,Valencia,M,8,9,210220
384,Teclado,857,87,Barcelona,F,5,11,74559
385,Monitor,1830,37,Barcelona,F,3,14,67710
386,Smartphone,1996,128,Portugal,F,2,13,255488
387,Mouse,1626,228,Barcelona,F,8,11,370728
388,Mouse,1771,58,Barcelona,M,8,8,102718
389,Mouse,564,88,Barcelona,M,7,11,49632
390,Audifonos,1706,40,Portugal,M,2,13,68240
391,Audifonos,762,259,Valencia,F,8,2,197358
392,Monitor,1074,190,Valencia,F,1,5,204060
393,Mouse,1586,73,Madrid,M,7,6,115778
394,Smartphone,1048,73,Portugal,F,9,8,76504
395,Mouse,762,156,Portugal,F,7,7,118872
396,Audifonos,785,131,Valencia,M,3,11,102835
397,Mouse,545,248,Valencia,M,6,12,135160
398,Smartphone,498,44,Valencia,F,8,8,21912
399,Laptop,1348,64,Madrid,F,4,2,86272
400,Teclado,1994,71,Barcelona,F,8,8,141574
401,Mouse,1135,17,Valencia,M,8,4,19295
402,Monitor,1943,168,Madrid,F,5,1,326424
403,Monitor,90,116,Madrid,M,9,2,10440
404,Laptop,801,133,Madrid,M,6,9,106533
405,Audifonos,1514,2,Valencia,M,9,14,3028
406,Audifonos,898,142,Portugal,F,9,10,127516
407,Teclado,146,191,Madrid,M,4,1,27886
408,Teclado,1287,28,Valencia,F,1,14,36036
409,Audifonos,1449,171,Madrid,M,6,7,247779
410,Audifonos,1695,86,Valencia,M,9,1,145770
411,Monitor,226,141,Madrid,F,4,2,31866
412,Audifonos,1483,109,Barcelona,M,9,10,161647
413,Laptop,865,178,Barcelona,M,8,2,153970
414,Smartphone,131,110,Barcelona,M,5,13,14410
415,Mouse,1895,150,Madrid,F,1,3,284250
416,Smartphone,891,240,Madrid,F,6,6,213840
417,Mouse,1705,77,Barcelona,M,2,4,131285
418,Laptop,1164,110,Valencia,F,2,12,128040
419,Smartphone,432,202,Portugal,M,6,6,87264
420,Laptop,674,73,Portugal,M,6,2,49202
421,Audifonos,1159,94,Portugal,F,6,3,108946
422,Audifonos,1914,182,Madrid,F,1,7,348348
423,Audifonos,1598,164,Portugal,M,4,1,262072
424,Mouse,1965,6,Madrid,M,3,8,11790
425,Audifonos,633,134,Portugal,M,4,7,84822
426,Audifonos,777,93,Portugal,F,7,8,72261
427,Smartphone,1952,148,Portugal,F,1,8,288896
428,Monitor,1937,150,Portugal,M,8,3,290550
429,Audifonos,1591,143,Portugal,F,3,9,227513
430,Smartphone,1778,82,Valencia,F,8,1,145796
431,Smartphone,1944,132,Madrid,F,5,3,256608
432,Smartphone,340,143,Madrid,M,8,2,48620
433,Smartphone,950,155,Barcelona,M,7,13,147250
434,Laptop,1699,45,Valencia,F,2,2,76455
435,Laptop,1490,255,Barcelona,F,1,14,379950
436,Teclado,1671,34,Madrid,F,2,7,56814
437,Smartphone,515,263,Portugal,M,3,8,135445
438,Smartphone,351,190,Portugal,F,4,2,66690
439,Smartphone,1701,82,Barcelona,M,1,14,139482
440,Teclado,1992,184,Madrid,F,2,1,366528
441,Monitor,1701,298,Portugal,M,8,12,506898
442,Mouse,1519,296,Valencia,M,4,4,449624
443,Audifonos,577,195,Valencia,F,1,4,112515
444,Mouse,1888,122,Portugal,M,2,8,230336
445,Mouse,1603,237,Barcelona,F,7,1,379911
446,Audifonos,568,141,Barcelona,F,5,9,80088
447,Smartphone,1807,49,Barcelona,F,7,7,88543
448,Monitor,1963,271,Valencia,M,5,2,531973
449,Audifonos,1926,199,Valencia,M,5,2,383274
450,Smartphone,633,23,Valencia,F,3,10,14559
451,Laptop,688,91,Madrid,F,7,10,62608
452,Smartphone,1038,276,Portugal,M,4,13,286488
453,Smartphone,1234,177,Barcelona,M,4,2,218418
454,Smartphone,1937,212,Madrid,M,5,5,410644
455,Teclado,1593,80,Madrid,F,7,13,127440
456,Laptop,1407,145,Barcelona,M,5,8,204015
457,Laptop,1037,256,Portugal,F,3,14,265472
458,Teclado,525,26,Barcelona,F,8,2,13650
459,Laptop,159,97,Barcelona,F,7,3,15423
460,Smartphone,1201,170,Portugal,F,6,8,204170
461,Mouse,194,36,Valencia,M,2,7,6984
462,Laptop,771,184,Barcelona,M,6,14,141864
463,Monitor,1881,230,Valencia,M,8,10,432630
464,Smartphone,895,33,Madrid,M,9,14,29535
465,Mouse,580,124,Madrid,M,7,4,71920
466,Audifonos,693,261,Portugal,F,7,14,180873
467,Laptop,915,43,Portugal,F,5,8,39345
468,Teclado,1333,143,Portugal,M,1,1,190619
469,Audifonos,137,237,Madrid,F,1,7,32469
470,Laptop,674,197,Madrid,F,6,13,132778
471,Teclado,1497,94,Madrid,M,8,2,140718
472,Laptop,1436,8,Madrid,F,4,2,11488
473,Smartphone,1965,204,Valencia,M,6,7,400860
474,Mouse,84,221,Portugal,M,9,9,18564
475,Audifonos,1372,50,Barcelona,F,7,4,68600
476,Smartphone,1475,33,Madrid,F,9,1,48675
477,Mouse,848,26,Barcelona,F,6,9,22048
478,Laptop,257,191,Valencia,F,4,2,49087
479,Laptop,1852,113,Valencia,F,9,14,209276
480,Teclado,698,72,Valencia,M,7,2,50256
481,Teclado,1998,228,Madrid,M,8,1,455544
482,Teclado,924,245,Portugal,F,9,2,226380
483,Mouse,213,108,Portugal,M,5,11,23004
484,Laptop,1125,11,Valencia,M,5,13,12375
485,Laptop,1936,188,Madrid,M,4,1,363968
486,Mouse,592,266,Barcelona,F,5,6,157472
487,Teclado,1413,272,Madrid,F,5,3,384336
488,Mouse,1899,43,Portugal,M,1,5,81657
489,Smartphone,1723,171,Barcelona,F,2,1,294633
490,Teclado,1745,155,Valencia,F,1,2,270475
491,Mouse,944,190,Madrid,M,2,3,179360
492,Teclado,1974,111,Valencia,F,2,3,219114
493,Monitor,427,150,Portugal,M,5,5,64050
494,Teclado,517,164,Portugal,F,7,5,84788
495,Teclado,784,6,Portugal,M,8,8,4704
496,Laptop,1423,154,Barcelona,M,4,6,219142
497,Monitor,585,203,Valencia,M,3,8,118755
498,Mouse,631,151,Barcelona,F,6,11,95281
499,Laptop,1898,184,Portugal,F,5,4,349232
500,Smartphone,1921,66,Madrid,M,1,11,126786
501,Teclado,1881,87,Barcelona,F,4,9,163647
502,Monitor,1254,153,Barcelona,F,5,14,191862
503,Laptop,497,76,Valencia,F,7,9,37772
504,Monitor,1541,95,Valencia,F,1,12,146395
505,Monitor,1624,29,Portugal,F,3,7,47096
506,Teclado,1724,144,Madrid,M,6,6,248256
507,Smartphone,835,129,Valencia,F,7,4,107715
508,Teclado,1603,145,Madrid,F,3,1,232435
509,Smartphone,1105,151,Portugal,F,1,1,166855
510,Teclado,74,104,Portugal,M,5,12,7696
511,Monitor,1056,252,Barcelona,F,7,6,266112
512,Monitor,1858,76,Madrid,M,8,10,141208
513,Laptop,889,101,Barcelona,F,2,13,89789
514,Teclado,840,28,Portugal,F,4,13,23520
515,Monitor,1431,115,Madrid,M,1,7,164565
516,Smartphone,1040,100,Barcelona,F,7,9,104000
517,Monitor,409,90,Portugal,M,6,13,36810
518,Audifonos,1909,62,Barcelona,M,3,11,118358
519,Monitor,1075,230,Madrid,F,5,6,247250
520,Mouse,1371,53,Valencia,M,7,14,72663
521,Teclado,203,259,Valencia,M,1,11,52577
522,Laptop,1801,162,Barcelona,F,1,5,291762
523,Laptop,956,14,Barcelona,M,8,10,13384
524,Teclado,464,217,Madrid,M,6,10,100688
525,Smartphone,119,279,Madrid,M,5,1,33201
526,Smartphone,1466,84,Valencia,M,9,13,123144
527,Laptop,656,153,Valencia,M,5,5,100368
528,Laptop,1787,243,Madrid,F,5,8,434241
529,Monitor,1411,16,Valencia,F,8,6,22576
530,Smartphone,1167,150,Portugal,M,4,6,175050
